mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name,Model 0,Residue,,,,,,
18,3,70,90,2124,13.5,73,3,maxda rx3,23.51457286,30.41051388,,,,,,
20,4,97,88,2279,19,73,3,toyota carina,23.51457286,12.35222242,,,,,,
18,6,250,88,3021,16.5,73,1,ford maverick,23.51457286,30.41051388,,,,,,
19,4,122,85,2310,18.5,73,1,ford pinto,23.51457286,20.38136815,,,,,,
24,4,116,75,2158,15.5,73,2,opel manta,23.51457286,0.235639504,,,,,,
21,4,140,72,2401,19.5,73,1,chevrolet vega,23.51457286,6.32307669,,,,,,
29,4,68,49,1867,19.5,73,2,fiat 128,23.51457286,30.08991086,,,,,,
26,4,97,46,1950,21,73,2,volkswagen super beetle,23.51457286,6.177348047,,,,,,
11,8,429,208,4633,11,72,1,mercury marquis,23.51457286,156.614534,,,,,,
13,8,400,190,4422,12.5,72,1,chrysler newport royal,23.51457286,110.5562425,,,,,,
14,8,400,175,4385,12,72,1,pontiac catalina,23.51457286,90.52709679,,,,,,
13,8,350,165,4274,12,72,1,chevrolet impala,23.51457286,110.5562425,,,,,,
12,8,350,160,4456,13.5,72,1,oldsmobile delta 88 royale,23.51457286,132.5853882,,,,,,
13,8,350,155,4502,13.5,72,1,buick lesabre custom,23.51457286,110.5562425,,,,,,
14,8,351,153,4129,13,72,1,ford galaxie 500,23.51457286,90.52709679,,,,,,
17,8,304,150,3672,11.5,72,1,amc ambassador sst,23.51457286,42.4396596,,,,,,
15,8,318,150,4135,13.5,72,1,plymouth fury iii,23.51457286,72.49795106,,,,,,
15,8,304,150,3892,12.5,72,1,amc matador (sw),23.51457286,72.49795106,,,,,,
14,8,318,150,4077,14,72,1,plymouth satellite custom (sw),23.51457286,90.52709679,,,,,,
13,8,302,140,4294,16,72,1,ford gran torino (sw),23.51457286,110.5562425,,,,,,
13,8,307,130,4098,14,72,1,chevrolet chevelle concours (sw),23.51457286,110.5562425,,,,,,
18,4,121,112,2933,14.5,72,2,volvo 145e (sw),23.51457286,30.41051388,,,,,,
23,4,120,97,2506,14.5,72,3,toyouta corona mark ii (sw),23.51457286,0.264785233,,,,,,
19,3,70,97,2330,13.5,72,3,mazda rx2 coupe,23.51457286,20.38136815,,,,,,
24,4,113,95,2278,15.5,72,3,toyota corona hardtop,23.51457286,0.235639504,,,,,,
28,4,97,92,2288,17,72,3,datsun 510 (sw),23.51457286,20.11905659,,,,,,
20,4,140,90,2408,19.5,72,1,chevrolet vega,23.51457286,12.35222242,,,,,,
27,4,97,88,2100,16.5,72,3,toyota corolla 1600 (sw),23.51457286,12.14820232,,,,,,
21,4,120,87,2979,19.5,72,2,peugeot 504 (sw),23.51457286,6.32307669,,,,,,
22,4,122,86,2395,16,72,1,ford pinto (sw),23.51457286,2.293930961,,,,,,
21,4,122,86,2226,16.5,72,1,ford pinto runabout,23.51457286,6.32307669,,,,,,
28,4,98,80,2164,15,72,1,dodge colt (sw),23.51457286,20.11905659,,,,,,
25,4,97.5,80,2126,17,72,1,dodge colt hardtop,23.51457286,2.206493775,,,,,,
22,4,121,76,2511,18,72,2,volkswagen 411 (sw),23.51457286,2.293930961,,,,,,
26,4,96,69,2189,18,72,2,renault 12 (sw),23.51457286,6.177348047,,,,,,
23,4,97,54,2254,23.5,72,2,volkswagen type 3,23.51457286,0.264785233,,,,,,
12,8,383,180,4955,11.5,71,1,dodge monaco (sw),23.51457286,132.5853882,,,,,,
14,8,400,175,4464,11.5,71,1,pontiac catalina brougham,23.51457286,90.52709679,,,,,,
13,8,400,175,5140,12,71,1,pontiac safari (sw),23.51457286,110.5562425,,,,,,
13,8,400,170,4746,12,71,1,ford country squire (sw),23.51457286,110.5562425,,,,,,
14,8,350,165,4209,12,71,1,chevrolet impala,23.51457286,90.52709679,,,,,,
14,8,351,153,4154,13.5,71,1,ford galaxie 500,23.51457286,90.52709679,,,,,,
14,8,318,150,4096,13,71,1,plymouth fury iii,23.51457286,90.52709679,,,,,,
18,6,258,110,2962,13.5,71,1,amc hornet sportabout (sw),23.51457286,30.41051388,,,,,,
16,6,225,105,3439,15.5,71,1,plymouth satellite custom,23.51457286,56.46880533,,,,,,
25,4,98,100,2046,19,71,1,ford pinto,23.51457286,2.206493775,,,,,,
19,6,232,100,2634,13,71,1,amc gremlin,23.51457286,20.38136815,,,,,,
19,6,250,100,3282,15,71,1,pontiac firebird,23.51457286,20.38136815,,,,,,
18,6,232,100,3288,15.5,71,1,amc matador,23.51457286,30.41051388,,,,,,
17,6,250,100,3329,15.5,71,1,chevrolet chevelle malibu,23.51457286,42.4396596,,,,,,
25,4,113,95,2228,14,71,3,toyota corona,23.51457286,2.206493775,,,,,,
28,4,140,90,2264,15.5,71,1,chevrolet vega 2300,23.51457286,20.11905659,,,,,,
28,4,116,90,2123,14,71,2,opel 1900,23.51457286,20.11905659,,,,,,
27,4,97,88,2130,14.5,71,3,datsun pl510,23.51457286,12.14820232,,,,,,
19,6,250,88,3302,15.5,71,1,ford torino 500,23.51457286,20.38136815,,,,,,
18,6,250,88,3139,14.5,71,1,ford mustang,23.51457286,30.41051388,,,,,,
23,4,122,86,2220,14,71,1,mercury capri 2000,23.51457286,0.264785233,,,,,,
30,4,88,76,2065,14.5,71,2,fiat 124b,23.51457286,42.06076513,,,,,,
22,4,140,72,2408,19,71,1,chevrolet vega (sw),23.51457286,2.293930961,,,,,,
30,4,79,70,2074,19.5,71,2,peugeot 304,23.51457286,42.06076513,,,,,,
26,4,91,70,1955,20.5,71,1,plymouth cricket,23.51457286,6.177348047,,,,,,
35,4,72,69,1613,18,71,3,datsun 1200,23.51457286,131.9150365,,,,,,
31,4,71,65,1773,19,71,3,toyota corolla 1200,23.51457286,56.0316194,,,,,,
27,4,97,60,1834,19,71,2,volkswagen model 111,23.51457286,12.14820232,,,,,,
14,8,455,225,4425,10,70,1,pontiac catalina,23.51457286,90.52709679,,,,,,
14,8,455,225,3086,10,70,1,buick estate wagon (sw),23.51457286,90.52709679,,,,,,
14,8,454,220,4354,9,70,1,chevrolet impala,23.51457286,90.52709679,,,,,,
14,8,440,215,4312,8.5,70,1,plymouth fury iii,23.51457286,90.52709679,,,,,,
10,8,360,215,4615,14,70,1,ford f250,23.51457286,182.6436797,,,,,,
11,8,318,210,4382,13.5,70,1,dodge d200,23.51457286,156.614534,,,,,,
10,8,307,200,4376,15,70,1,chevy c20,23.51457286,182.6436797,,,,,,
15,8,429,198,4341,10,70,1,ford galaxie 500,23.51457286,72.49795106,,,,,,
9,8,304,193,4732,18.5,70,1,hi 1200d,23.51457286,210.6728254,,,,,,
15,8,390,190,3850,8.5,70,1,amc ambassador dpl,23.51457286,72.49795106,,,,,,
15,8,383,170,3563,10,70,1,dodge challenger se,23.51457286,72.49795106,,,,,,
15,8,350,165,3693,11.5,70,1,buick skylark 320,23.51457286,72.49795106,,,,,,
14,8,340,160,3609,8,70,1,plymouth 'cuda 340,23.51457286,90.52709679,,,,,,
18,8,318,150,3436,11,70,1,plymouth satellite,23.51457286,30.41051388,,,,,,
16,8,304,150,3433,12,70,1,amc rebel sst,23.51457286,56.46880533,,,,,,
15,8,400,150,3761,9.5,70,1,chevrolet monte carlo,23.51457286,72.49795106,,,,,,
17,8,302,140,3449,10.5,70,1,ford torino,23.51457286,42.4396596,,,,,,
18,8,307,130,3504,12,70,1,chevrolet chevelle malibu,23.51457286,30.41051388,,,,,,
26,4,121,113,2234,12.5,70,2,bmw 2002,23.51457286,6.177348047,,,,,,
18,6,199,97,2774,15.5,70,1,amc hornet,23.51457286,30.41051388,,,,,,
25,4,104,95,2375,17.5,70,2,saab 99e,23.51457286,2.206493775,,,,,,
24,4,113,95,2372,15,70,3,toyota corona mark ii,23.51457286,0.235639504,,,,,,
22,6,198,95,2833,15.5,70,1,plymouth duster,23.51457286,2.293930961,,,,,,
24,4,107,90,2430,14.5,70,2,audi 100 ls,23.51457286,0.235639504,,,,,,
21,6,199,90,2648,15,70,1,amc gremlin,23.51457286,6.32307669,,,,,,
27,4,97,88,2130,14.5,70,3,datsun pl510,23.51457286,12.14820232,,,,,,
25,4,110,87,2672,17.5,70,2,peugeot 504,23.51457286,2.206493775,,,,,,
21,6,200,85,2587,16,70,1,ford maverick,23.51457286,6.32307669,,,,,,
26,4,97,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan,23.51457286,6.177348047,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,RMSE,95.97342952,,,,,,

